GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1
"""00000""",United States, ,SQGDP1,1,...,Real GDP (millions of chained 2012 dollars),Millions of chained 2012 dollars,14767846.0,14839707.0,14956291.0,15041232.0,15244088.0,15281525.0,15304517.0,15433643.0,15478956.0,15577779.0,15671605.0,15767146.0,15702906.0,15792773.0,15709562.0,15366607.0,15187475.0,15161772.0,15216647.0,15379155.0,15456059.0,15605628.0,15726282.0,15807995.0,15769911.0,15876839.0,15870684.0,16048702.0,16179968.0,16253726.0,16282151.0,16300035.0,16441485.0,16464402.0,16594743.0,16712760.0,16654247.0,16868109.0,17064616.0,17141235.0,17280647.0,17380875.0,17437080.0,17462579.0,17565465.0,17618581.0,17724489.0,17812560.0,17896623.0,17996802.0,18126226.0,18296685.0,18436262.0,18590004.0,18679599.0,18721281.0,18833195.0,18982528.0,19112653.0,19202310.0,18951992.0,17258205.0,18560774.0,18767778.0,19055655.0,19368310.0,19478893.0,19806290.0,19727918.0
"""00000""",United States, ,SQGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,90.857,91.299,92.016,92.539,93.787,94.017,94.159,94.953,95.232,95.840,96.417,97.005,96.610,97.163,96.651,94.541,93.439,93.280,93.618,94.618,95.091,96.011,96.753,97.256,97.022,97.680,97.642,98.737,99.545,99.999,100.173,100.283,101.154,101.295,102.097,102.823,102.463,103.778,104.987,105.459,106.316,106.933,107.279,107.436,108.069,108.396,109.047,109.589,110.106,110.723,111.519,112.567,113.426,114.372,114.923,115.180,115.868,116.787,117.588,118.139,116.599,106.178,114.192,115.466,117.237,119.160,119.841,121.855,121.373
"""00000""",United States, ,SQGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,12767286.0,12922656.0,13142642.0,13324204.0,13599160.0,13753424.0,13870188.0,14039560.0,14215651.0,14402082.0,14564117.0,14715058.0,14706538.0,14865701.0,14898999.0,14608208.0,14430901.0,14381236.0,14448882.0,14651248.0,14764611.0,14980193.0,15141605.0,15309471.0,15351444.0,15557535.0,15647681.0,15842267.0,16068824.0,16207130.0,16319540.0,16420386.0,16629050.0,16699551.0,16911068.0,17133114.0,17144281.0,17462703.0,17743227.0,17852540.0,17991348.0,18193707.0,18306960.0,18332079.0,18425306.0,18611617.0,18775459.0,18968041.0,19153912.0,19322920.0,19558693.0,19882965.0,20143716.0,20492492.0,20659102.0,20813325.0,21001591.0,21289268.0,21505012.0,21694458.0,21481367.0,19477444.0,21138574.0,21477597.0,22038226.0,22740959.0,23202344.0,24002815.0,24386734.0
"""01000""",Alabama,5,SQGDP1,1,...,Real GDP (millions of chained 2012 dollars),Millions of chained 2012 dollars,182600.4,184625.7,184134.9,186116.9,186539.0,187489.6,187442.8,187611.6,187376.1,188746.2,189934.1,189953.7,188933.9,189288.6,187535.2,182028.9,180072.9,180406.4,180990.1,181359.2,181276.7,183649.6,187004.4,186878.9,185740.7,186746.9,187669.2,190266.5,190077.6,190536.7,188418.1,187949.6,191903.7,191053.3,192256.9,190265.3,187517.5,189967.8,191075.8,190984.2,189878.6,191535.8,192148.5,191778.0,193112.6,194227.5,194380.5,195414.6,196746.6,197019.3,197409.4,199091.2,200256.3,200910.3,200447.3,201589.7,202231.1,203117.0,203833.4,204354.1,202069.1,183890.3,200354.3,201310.6,202598.8,204135.8,204968.8,207835.2,206879.7
"""01000""",Alabama,5,SQGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,96.489,97.559,97.299,98.347,98.570,99.072,99.047,99.137,99.012,99.736,100.364,100.374,99.835,100.023,99.096,96.187,95.153,95.329,95.638,95.833,95.789,97.043,98.816,98.749,98.148,98.680,99.167,100.540,100.440,100.682,99.563,99.315,101.405,100.955,101.591,100.539,99.087,100.382,100.967,100.919,100.335,101.210,101.534,101.338,102.043,102.633,102.713,103.260,103.964,104.108,104.314,105.203,105.818,106.164,105.919,106.523,106.862,107.330,107.708,107.984,106.776,97.170,105.870,106.375,107.056,107.868,108.308,109.823,109.318
"""01000""",Alabama,5,SQGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,155702.7,158097.7,159237.5,162349.4,163922.4,166060.1,167426.9,168466.7,169991.5,172482.7,174468.8,174957.8,174508.1,175783.0,175791.0,172023.1,170326.7,170239.2,170973.3,172184.3,172778.3,175855.6,179801.4,180561.3,180499.3,182689.4,185011.7,187466.1,188424.6,190053.1,189027.2,189477.2,194124.9,193786.5,195890.8,195345.5,193282.5,196937.5,199296.5,200110.9,199782.1,202344.6,203858.1,203504.8,204691.9,207129.8,207694.5,209957.3,212628.6,213663.7,215318.5,218733.0,221282.9,223926.4,224161.8,226816.6,228446.2,230428.6,232224.7,233587.9,231792.8,210576.3,231581.2,233635.5,238126.4,243786.8,248991.2,257465.4,261612.0
"""02000""",Alaska,8,SQGDP1,1,...,Real GDP (millions of chained 2012 dollars),Millions of chained 2012 dollars,45176.1,45776.9,45501.7,46173.5,47346.6,48911.2,49486.7,51016.2,51384.8,52275.8,52106.7,51116.5,49885.8,48777.2,50833.6,55511.7,57551.9,56989.5,55545.6,54773.5,53479.1,54794.8,55173.0,54959.1,53410.9,54642.5,55356.9,57711.1,57685.0,59227.9,58744.5,57477.2,56769.5,54798.0,55176.3,54673.4,53780.7,54013.5,54271.9,54686.8,55210.6,54650.5,54560.8,54541.5,55065.2,54197.5,53849.2,53874.6,53917.9,54028.7,54565.4,54006.1,53399.8,53146.8,53126.2,53325.6,52889.5,52930.1,53788.5,53737.8,52876.1,47820.3,49213.8,50733.8,49820.2,50307.6,50352.9,50720.6,49643.0
"""02000""",Alaska,8,SQGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,77.511,78.542,78.069,79.222,81.235,83.919,84.907,87.531,88.163,89.692,89.402,87.703,85.592,83.689,87.218,95.244,98.745,97.780,95.302,93.977,91.757,94.014,94.663,94.296,91.640,93.753,94.978,99.018,98.973,101.620,100.791,98.616,97.402,94.020,94.669,93.806,92.274,92.673,93.117,93.829,94.727,93.766,93.613,93.579,94.478,92.989,92.392,92.435,92.510,92.700,93.621,92.661,91.621,91.187,91.151,91.493,90.745,90.815,92.288,92.201,90.722,82.048,84.438,87.046,85.479,86.315,86.393,87.024,85.175
"""02000""",Alaska,8,SQGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,37792.5,39198.7,40905.2,43529.9,43276.9,45016.6,45700.4,46382.5,47104.0,49415.8,50222.5,51592.7,52863.3,56284.1,57741.4,53601.1,50804.3,49588.2,48973.7,50464.9,51903.8,52922.5,53903.5,54596.6,54492.2,57059.1,57102.2,58932.0,58499.4,58652.9,58301.9,57680.4,57879.2,56608.4,57823.3,56679.9,56871.6,57354.7,56748.9,54964.6,52146.2,52193.5,51181.2,50442.7,49864.8,50542.3,50843.4,51660.1,52486.6,52606.1,53319.3,53945.4,54138.1,54517.7,55003.4,55187.7,54068.9,54236.4,54802.8,55080.3,53103.2,45944.5,48876.9,51355.3,52163.8,54055.9,55677.2,57983.5,58875.3
"""04000""",Arizona,6,SQGDP1,1,...,Real GDP (millions of chained 2012 dollars),Millions of chained 2012 dollars,256521.4,260884.6,265619.7,266278.2,271247.2,271897.9,275090.9,278481.7,279269.0,282276.6,285827.2,285630.2,285356.3,285017.1,281661.6,271205.2,261774.7,256640.0,254266.1,257313.1,255010.4,259202.3,262030.2,264985.6,263630.3,264532.0,265432.6,270811.2,270945.9,272153.0,271149.3,271511.9,272653.7,272500.2,273546.4,275227.2,275486.8,276481.0,278221.4,277606.6,281222.8,282426.5,281689.2,284969.4,286940.7,289953.3,293674.5,294532.4,298151.1,299978.6,304949.9,306741.9,311176.5,312426.5,314699.3,316172.6,319443.4,322027.1,325925.6,328181.3,324209.9,303625.2,323723.2,330644.2,331004.1,335980.7,338770.5,343943.4,341753.8
