                               Labor Force Data by County, 2019 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2019        26,684       25,920        764      2.9
CN0100300000000   01     003   Baldwin County, AL                                2019        98,921       96,044      2,877      2.9
CN0100500000000   01     005   Barbour County, AL                                2019         8,637        8,292        345      4.0
CN0100700000000   01     007   Bibb County, AL                                   2019         8,772        8,488        284      3.2
CN0100900000000   01     009   Blount County, AL                                 2019        25,582       24,861        721      2.8
CN0101100000000   01     011   Bullock County, AL                                2019         4,861        4,673        188      3.9
CN0101300000000   01     013   Butler County, AL                                 2019         9,317        8,956        361      3.9
CN0101500000000   01     015   Calhoun County, AL                                2019        46,804       45,064      1,740      3.7
CN0101700000000   01     017   Chambers County, AL                               2019        15,992       15,502        490      3.1
CN0101900000000   01     019   Cherokee County, AL                               2019        11,906       11,546        360      3.0
CN0102100000000   01     021   Chilton County, AL                                2019        20,145       19,567        578      2.9
CN0102300000000   01     023   Choctaw County, AL                                2019         4,722        4,490        232      4.9
CN0102500000000   01     025   Clarke County, AL                                 2019         7,715        7,251        464      6.0
CN0102700000000   01     027   Clay County, AL                                   2019         6,161        5,969        192      3.1
CN0102900000000   01     029   Cleburne County, AL                               2019         5,863        5,669        194      3.3
CN0103100000000   01     031   Coffee County, AL                                 2019        22,076       21,405        671      3.0
CN0103300000000   01     033   Colbert County, AL                                2019        24,079       23,131        948      3.9
CN0103500000000   01     035   Conecuh County, AL                                2019         4,570        4,380        190      4.2
CN0103700000000   01     037   Coosa County, AL                                  2019         4,575        4,432        143      3.1
CN0103900000000   01     039   Covington County, AL                              2019        15,788       15,218        570      3.6
CN0104100000000   01     041   Crenshaw County, AL                               2019         6,534        6,340        194      3.0
CN0104300000000   01     043   Cullman County, AL                                2019        39,130       38,061      1,069      2.7
CN0104500000000   01     045   Dale County, AL                                   2019        20,920       20,232        688      3.3
CN0104700000000   01     047   Dallas County, AL                                 2019        14,897       14,044        853      5.7
CN0104900000000   01     049   DeKalb County, AL                                 2019        31,627       30,695        932      2.9
CN0105100000000   01     051   Elmore County, AL                                 2019        37,806       36,767      1,039      2.7
CN0105300000000   01     053   Escambia County, AL                               2019        14,843       14,293        550      3.7
CN0105500000000   01     055   Etowah County, AL                                 2019        43,127       41,603      1,524      3.5
CN0105700000000   01     057   Fayette County, AL                                2019         6,685        6,466        219      3.3
CN0105900000000   01     059   Franklin County, AL                               2019        14,815       14,384        431      2.9
CN0106100000000   01     061   Geneva County, AL                                 2019        11,100       10,755        345      3.1
CN0106300000000   01     063   Greene County, AL                                 2019         2,937        2,765        172      5.9
CN0106500000000   01     065   Hale County, AL                                   2019         6,171        5,915        256      4.1
CN0106700000000   01     067   Henry County, AL                                  2019         6,990        6,725        265      3.8
CN0106900000000   01     069   Houston County, AL                                2019        47,014       45,523      1,491      3.2
CN0107100000000   01     071   Jackson County, AL                                2019        23,691       22,867        824      3.5
CN0107300000000   01     073   Jefferson County, AL                              2019       321,691      311,970      9,721      3.0
CN0107500000000   01     075   Lamar County, AL                                  2019         5,891        5,700        191      3.2
CN0107700000000   01     077   Lauderdale County, AL                             2019        43,111       41,623      1,488      3.5
CN0107900000000   01     079   Lawrence County, AL                               2019        14,452       13,973        479      3.3
CN0108100000000   01     081   Lee County, AL                                    2019        77,544       75,315      2,229      2.9
CN0108300000000   01     083   Limestone County, AL                              2019        44,948       43,686      1,262      2.8
CN0108500000000   01     085   Lowndes County, AL                                2019         3,557        3,342        215      6.0
CN0108700000000   01     087   Macon County, AL                                  2019         7,982        7,627        355      4.4
CN0108900000000   01     089   Madison County, AL                                2019       187,759      182,655      5,104      2.7
CN0109100000000   01     091   Marengo County, AL                                2019         7,802        7,513        289      3.7
CN0109300000000   01     093   Marion County, AL                                 2019        12,948       12,472        476      3.7
CN0109500000000   01     095   Marshall County, AL                               2019        44,730       43,565      1,165      2.6
CN0109700000000   01     097   Mobile County, AL                                 2019       191,722      184,234      7,488      3.9
CN0109900000000   01     099   Monroe County, AL                                 2019         7,440        7,064        376      5.1
CN0110100000000   01     101   Montgomery County, AL                             2019       107,721      104,224      3,497      3.2
CN0110300000000   01     103   Morgan County, AL                                 2019        59,179       57,574      1,605      2.7
CN0110500000000   01     105   Perry County, AL                                  2019         3,436        3,248        188      5.5
CN0110700000000   01     107   Pickens County, AL                                2019         8,028        7,732        296      3.7
CN0110900000000   01     109   Pike County, AL                                   2019        15,570       15,033        537      3.4
CN0111100000000   01     111   Randolph County, AL                               2019         9,644        9,333        311      3.2
CN0111300000000   01     113   Russell County, AL                                2019        24,075       23,324        751      3.1
CN0111500000000   01     115   St. Clair County, AL                              2019        41,322       40,148      1,174      2.8
CN0111700000000   01     117   Shelby County, AL                                 2019       118,169      115,441      2,728      2.3
CN0111900000000   01     119   Sumter County, AL                                 2019         4,832        4,601        231      4.8
CN0112100000000   01     121   Talladega County, AL                              2019        36,213       34,912      1,301      3.6
CN0112300000000   01     123   Tallapoosa County, AL                             2019        18,737       18,145        592      3.2
CN0112500000000   01     125   Tuscaloosa County, AL                             2019       106,555      103,529      3,026      2.8
CN0112700000000   01     127   Walker County, AL                                 2019        25,542       24,653        889      3.5
CN0112900000000   01     129   Washington County, AL                             2019         6,808        6,474        334      4.9
CN0113100000000   01     131   Wilcox County, AL                                 2019         2,753        2,547        206      7.5
CN0113300000000   01     133   Winston County, AL                                2019        10,280        9,922        358      3.5
CN0201300000000   02     013   Aleutians East Borough, AK                        2019         2,552        2,493         59      2.3
CN0201600000000   02     016   Aleutians West Census Area, AK                    2019         3,645        3,531        114      3.1
CN0202000000000   02     020   Anchorage Borough/municipality, AK                2019       148,655      141,968      6,687      4.5
CN0205000000000   02     050   Bethel Census Area, AK                            2019         7,086        6,260        826     11.7
CN0206000000000   02     060   Bristol Bay Borough, AK                           2019           449          425         24      5.3
CN0206800000000   02     068   Denali Borough, AK                                2019         1,099        1,017         82      7.5
CN0207000000000   02     070   Dillingham Census Area, AK                        2019         1,982        1,840        142      7.2
CN0209000000000   02     090   Fairbanks North Star Borough, AK                  2019        45,374       43,216      2,158      4.8
CN0210000000000   02     100   Haines Borough, AK                                2019         1,131        1,039         92      8.1
CN0210500000000   02     105   Hoonah-Angoon Census Area, AK                     2019         1,191        1,070        121     10.2
CN0211000000000   02     110   Juneau Borough/city, AK                           2019        17,249       16,565        684      4.0
CN0212200000000   02     122   Kenai Peninsula Borough, AK                       2019        26,483       24,857      1,626      6.1
CN0213000000000   02     130   Ketchikan Gateway Borough, AK                     2019         7,004        6,614        390      5.6
CN0215000000000   02     150   Kodiak Island Borough, AK                         2019         5,971        5,674        297      5.0
CN0215800000000   02     158   Kusilvak Census Area, AK                          2019         2,650        2,178        472     17.8
CN0216400000000   02     164   Lake and Peninsula Borough, AK                    2019           709          645         64      9.0
CN0217000000000   02     170   Matanuska-Susitna Borough, AK                     2019        48,235       45,267      2,968      6.2
CN0218000000000   02     180   Nome Census Area, AK                              2019         4,024        3,624        400      9.9
CN0218500000000   02     185   North Slope Borough, AK                           2019         3,552        3,348        204      5.7
CN0218800000000   02     188   Northwest Arctic Borough, AK                      2019         2,904        2,533        371     12.8
CN0219500000000   02     195   Petersburg Borough, AK                            2019         1,410        1,299        111      7.9
CN0219800000000   02     198   Prince of Wales-Hyder Census Area, AK             2019         2,884        2,622        262      9.1
CN0222000000000   02     220   Sitka Borough/city, AK                            2019         4,404        4,242        162      3.7
CN0223000000000   02     230   Skagway Municipality, AK                          2019           782          712         70      9.0
CN0224000000000   02     240   Southeast Fairbanks Census Area, AK               2019         2,872        2,642        230      8.0
CN0226100000000   02     261   Valdez-Cordova Census Area, AK                    2019         4,865        4,535        330      6.8
CN0227500000000   02     275   Wrangell Borough/city, AK                         2019         1,031          961         70      6.8
CN0228200000000   02     282   Yakutat Borough/city, AK                          2019           251          234         17      6.8
CN0229000000000   02     290   Yukon-Koyukuk Census Area, AK                     2019         2,441        2,129        312     12.8
CN0400100000000   04     001   Apache County, AZ                                 2019        19,813       17,823      1,990     10.0
CN0400300000000   04     003   Cochise County, AZ                                2019        48,785       45,963      2,822      5.8
CN0400500000000   04     005   Coconino County, AZ                               2019        74,782       70,489      4,293      5.7
CN0400700000000   04     007   Gila County, AZ                                   2019        20,765       19,586      1,179      5.7
CN0400900000000   04     009   Graham County, AZ                                 2019        14,962       14,226        736      4.9
CN0401100000000   04     011   Greenlee County, AZ                               2019         4,346        4,173        173      4.0
CN0401200000000   04     012   La Paz County, AZ                                 2019         9,004        8,466        538      6.0
CN0401300000000   04     013   Maricopa County, AZ                               2019     2,229,900    2,136,810     93,090      4.2
