                               Labor Force Data by County, 2018 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2018        26,475       25,524        951      3.6
CN0100300000000   01     003   Baldwin County, AL                                2018        96,252       92,769      3,483      3.6
CN0100500000000   01     005   Barbour County, AL                                2018         8,505        8,071        434      5.1
CN0100700000000   01     007   Bibb County, AL                                   2018         8,698        8,354        344      4.0
CN0100900000000   01     009   Blount County, AL                                 2018        25,337       24,454        883      3.5
CN0101100000000   01     011   Bullock County, AL                                2018         4,844        4,619        225      4.6
CN0101300000000   01     013   Butler County, AL                                 2018         9,070        8,642        428      4.7
CN0101500000000   01     015   Calhoun County, AL                                2018        46,805       44,652      2,153      4.6
CN0101700000000   01     017   Chambers County, AL                               2018        15,530       14,929        601      3.9
CN0101900000000   01     019   Cherokee County, AL                               2018        11,813       11,394        419      3.5
CN0102100000000   01     021   Chilton County, AL                                2018        19,834       19,121        713      3.6
CN0102300000000   01     023   Choctaw County, AL                                2018         4,800        4,539        261      5.4
CN0102500000000   01     025   Clarke County, AL                                 2018         7,742        7,170        572      7.4
CN0102700000000   01     027   Clay County, AL                                   2018         6,076        5,845        231      3.8
CN0102900000000   01     029   Cleburne County, AL                               2018         5,857        5,610        247      4.2
CN0103100000000   01     031   Coffee County, AL                                 2018        21,233       20,403        830      3.9
CN0103300000000   01     033   Colbert County, AL                                2018        23,798       22,713      1,085      4.6
CN0103500000000   01     035   Conecuh County, AL                                2018         4,560        4,325        235      5.2
CN0103700000000   01     037   Coosa County, AL                                  2018         4,475        4,291        184      4.1
CN0103900000000   01     039   Covington County, AL                              2018        15,820       15,101        719      4.5
CN0104100000000   01     041   Crenshaw County, AL                               2018         6,436        6,177        259      4.0
CN0104300000000   01     043   Cullman County, AL                                2018        38,519       37,263      1,256      3.3
CN0104500000000   01     045   Dale County, AL                                   2018        20,478       19,627        851      4.2
CN0104700000000   01     047   Dallas County, AL                                 2018        15,043       14,073        970      6.4
CN0104900000000   01     049   DeKalb County, AL                                 2018        30,616       29,457      1,159      3.8
CN0105100000000   01     051   Elmore County, AL                                 2018        37,993       36,692      1,301      3.4
CN0105300000000   01     053   Escambia County, AL                               2018        14,581       13,924        657      4.5
CN0105500000000   01     055   Etowah County, AL                                 2018        43,714       41,935      1,779      4.1
CN0105700000000   01     057   Fayette County, AL                                2018         6,600        6,333        267      4.0
