                               Labor Force Data by County, 2020 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2020        26,405       24,985      1,420      5.4
CN0100300000000   01     003   Baldwin County, AL                                2020        98,910       92,751      6,159      6.2
CN0100500000000   01     005   Barbour County, AL                                2020         8,680        8,004        676      7.8
CN0100700000000   01     007   Bibb County, AL                                   2020         8,712        8,073        639      7.3
CN0100900000000   01     009   Blount County, AL                                 2020        25,116       23,973      1,143      4.6
CN0101100000000   01     011   Bullock County, AL                                2020         4,877        4,582        295      6.0
CN0101300000000   01     013   Butler County, AL                                 2020         9,236        8,345        891      9.6
CN0101500000000   01     015   Calhoun County, AL                                2020        47,022       43,367      3,655      7.8
CN0101700000000   01     017   Chambers County, AL                               2020        16,093       14,884      1,209      7.5
CN0101900000000   01     019   Cherokee County, AL                               2020        11,672       11,073        599      5.1
CN0102100000000   01     021   Chilton County, AL                                2020        19,936       18,839      1,097      5.5
CN0102300000000   01     023   Choctaw County, AL                                2020         4,699        4,351        348      7.4
CN0102500000000   01     025   Clarke County, AL                                 2020         7,899        7,116        783      9.9
CN0102700000000   01     027   Clay County, AL                                   2020         6,140        5,865        275      4.5
CN0102900000000   01     029   Cleburne County, AL                               2020         5,852        5,556        296      5.1
CN0103100000000   01     031   Coffee County, AL                                 2020        22,008       20,938      1,070      4.9
CN0103300000000   01     033   Colbert County, AL                                2020        23,895       22,152      1,743      7.3
CN0103500000000   01     035   Conecuh County, AL                                2020         4,582        4,214        368      8.0
CN0103700000000   01     037   Coosa County, AL                                  2020         4,428        4,156        272      6.1
CN0103900000000   01     039   Covington County, AL                              2020        15,342       14,500        842      5.5
CN0104100000000   01     041   Crenshaw County, AL                               2020         6,371        5,971        400      6.3
CN0104300000000   01     043   Cullman County, AL                                2020        38,862       36,992      1,870      4.8
CN0104500000000   01     045   Dale County, AL                                   2020        20,928       19,793      1,135      5.4
CN0104700000000   01     047   Dallas County, AL                                 2020        14,836       13,091      1,745     11.8
CN0104900000000   01     049   DeKalb County, AL                                 2020        31,289       29,721      1,568      5.0
CN0105100000000   01     051   Elmore County, AL                                 2020        37,662       35,657      2,005      5.3
CN0105300000000   01     053   Escambia County, AL                               2020        14,604       13,611        993      6.8
CN0105500000000   01     055   Etowah County, AL                                 2020        41,417       37,912      3,505      8.5
CN0105700000000   01     057   Fayette County, AL                                2020         6,664        6,294        370      5.6
CN0105900000000   01     059   Franklin County, AL                               2020        14,567       13,844        723      5.0
CN0106100000000   01     061   Geneva County, AL                                 2020        11,029       10,520        509      4.6
CN0106300000000   01     063   Greene County, AL                                 2020         3,094        2,728        366     11.8
CN0106500000000   01     065   Hale County, AL                                   2020         6,165        5,529        636     10.3
CN0106700000000   01     067   Henry County, AL                                  2020         6,909        6,535        374      5.4
CN0106900000000   01     069   Houston County, AL                                2020        47,221       44,396      2,825      6.0
CN0107100000000   01     071   Jackson County, AL                                2020        23,091       21,727      1,364      5.9
CN0107300000000   01     073   Jefferson County, AL                              2020       320,394      298,447     21,947      6.9
CN0107500000000   01     075   Lamar County, AL                                  2020         5,788        5,474        314      5.4
CN0107700000000   01     077   Lauderdale County, AL                             2020        42,649       40,026      2,623      6.2
CN0107900000000   01     079   Lawrence County, AL                               2020        14,528       13,736        792      5.5
CN0108100000000   01     081   Lee County, AL                                    2020        76,533       72,090      4,443      5.8
CN0108300000000   01     083   Limestone County, AL                              2020        45,890       43,726      2,164      4.7
CN0108500000000   01     085   Lowndes County, AL                                2020         3,723        3,182        541     14.5
CN0108700000000   01     087   Macon County, AL                                  2020         8,186        7,327        859     10.5
CN0108900000000   01     089   Madison County, AL                                2020       189,632      179,871      9,761      5.1
CN0109100000000   01     091   Marengo County, AL                                2020         7,864        7,319        545      6.9
CN0109300000000   01     093   Marion County, AL                                 2020        13,291       12,545        746      5.6
CN0109500000000   01     095   Marshall County, AL                               2020        44,783       42,700      2,083      4.7
CN0109700000000   01     097   Mobile County, AL                                 2020       195,089      178,158     16,931      8.7
CN0109900000000   01     099   Monroe County, AL                                 2020         7,626        6,943        683      9.0
CN0110100000000   01     101   Montgomery County, AL                             2020       108,329       99,047      9,282      8.6
CN0110300000000   01     103   Morgan County, AL                                 2020        59,737       56,771      2,966      5.0
CN0110500000000   01     105   Perry County, AL                                  2020         3,452        3,038        414     12.0
CN0110700000000   01     107   Pickens County, AL                                2020         7,688        7,128        560      7.3
CN0110900000000   01     109   Pike County, AL                                   2020        15,841       14,976        865      5.5
CN0111100000000   01     111   Randolph County, AL                               2020         9,570        9,063        507      5.3
CN0111300000000   01     113   Russell County, AL                                2020        23,819       22,447      1,372      5.8
CN0111500000000   01     115   St. Clair County, AL                              2020        41,389       39,149      2,240      5.4
CN0111700000000   01     117   Shelby County, AL                                 2020       117,880      112,894      4,986      4.2
